home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,status,timestamp,referee,home_team_possession,away_team_possession,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,away_team_yellow_cards,home_team_pre_match_xg,away_team_pre_match_xg,is_cup,home_team_lsi,away_team_lsi
Nublense,Coquimbo Unido,0.0,0.0,complete,1708129800,F. Alveal,51.0,49.0,8.0,4.0,1.0,2.0,1.0,1.0,0,1.0,1.0
Union Espanola,Colo Colo,0.0,3.0,complete,1708203600,H. Jona,33.0,67.0,4.0,3.0,5.0,2.0,1.0,1.0,0,1.0,1.0
Deportes Copiapo,O'Higgins,1.0,3.0,complete,1708212600,P. Maza,60.0,40.0,8.0,5.0,2.0,2.0,1.0,1.0,0,1.0,1.0
Cobreloa,Huachipato,1.0,1.0,complete,1708299000,N. Gamboa,45.0,55.0,3.0,5.0,0.0,2.0,1.4,0.86,0,1.0,1.0
A. Italiano,Deportes Iquique,2.0,3.0,complete,1708383600,D. Rissios,41.0,59.0,4.0,5.0,1.0,5.0,1.0,1.0,0,1.0,1.0
U. Catolica,Nublense,0.0,1.0,complete,1708725600,D. Flores,59.0,41.0,3.0,7.0,6.0,1.0,1.0,1.0,0,1.0,1.0
Coquimbo Unido,Deportes Copiapo,3.0,1.0,complete,1708734600,V. Abarzúa,62.0,38.0,10.0,1.0,6.0,6.0,1.0,1.0,0,1.0,1.0
Palestino,Cobreloa,5.0,0.0,complete,1708808400,M. Vergara,46.0,54.0,1.0,5.0,4.0,4.0,1.0,1.0,0,1.0,1.0
Universidad de Chile,A. Italiano,1.0,0.0,complete,1708808400,J. Lara,56.0,44.0,4.0,3.0,3.0,3.0,1.0,1.0,0,1.0,1.0
Deportes Iquique,Everton de Vina,1.0,1.0,complete,1708873200,N. Millas,65.0,35.0,7.0,3.0,4.0,3.0,1.0,1.0,0,1.0,1.0
Huachipato,Union La Calera,0.0,1.0,complete,1708873200,M. Araos,66.0,34.0,7.0,2.0,0.0,4.0,1.0,1.0,0,1.0,1.0
O'Higgins,Colo Colo,1.0,0.0,complete,1708894800,N. Gamboa,27.0,73.0,11.0,2.0,2.0,4.0,1.0,1.0,0,1.0,1.0
Cobresal,Union Espanola,2.0,2.0,complete,1708903800,J. Cabero,51.0,49.0,7.0,4.0,2.0,4.0,1.0,1.0,0,1.0,1.0
Cobreloa,Cobresal,2.0,1.0,complete,1709335800,M. Riquelme,55.0,45.0,4.0,3.0,2.0,5.0,1.0,1.0,0,1.0,1.0
Palestino,U. Catolica,0.0,2.0,complete,1709413200,M. Araos,60.0,40.0,6.0,5.0,3.0,5.0,1.0,1.0,0,1.0,1.0
O'Higgins,Everton de Vina,2.0,1.0,complete,1709413200,G. Philippe,39.0,61.0,3.0,9.0,3.0,1.0,1.0,1.0,0,1.0,1.0
Union Espanola,Coquimbo Unido,1.0,0.0,complete,1709422200,B. Saravia,47.0,53.0,1.0,12.0,2.0,4.0,1.0,1.0,0,1.0,1.0
Nublense,A. Italiano,1.0,2.0,complete,1709422200,J. Sepúlveda,52.0,48.0,11.0,4.0,2.0,5.0,1.0,1.0,0,1.0,1.0
Colo Colo,Huachipato,2.0,0.0,complete,1709499600,J. Lara,64.0,36.0,1.0,3.0,2.0,0.0,1.0,1.0,0,1.0,1.0
Union La Calera,Deportes Iquique,1.0,3.0,complete,1709508600,R. Carvajal,40.0,60.0,3.0,6.0,2.0,0.0,1.0,1.0,0,1.0,1.0
Deportes Copiapo,Universidad de Chile,1.0,3.0,complete,1709589600,C. Garay,47.0,53.0,0.0,4.0,2.0,4.0,1.0,1.0,0,1.0,1.0
Cobresal,Huachipato,1.0,2.0,complete,1710018000,P. Maza,62.0,38.0,11.0,2.0,2.0,2.0,1.0,1.0,0,1.0,1.0
O'Higgins,Palestino,0.0,1.0,complete,1710027000,F. Alveal,51.0,49.0,7.0,5.0,2.0,6.0,1.0,1.0,0,1.0,1.0
Union Espanola,A. Italiano,3.0,0.0,complete,1710027000,D. Flores,46.0,54.0,6.0,1.0,4.0,2.0,1.0,1.0,0,1.0,1.0
Deportes Iquique,Coquimbo Unido,4.0,2.0,complete,1710082800,N. Gamboa,60.0,40.0,7.0,4.0,5.0,2.0,1.0,1.0,0,1.0,1.0
Colo Colo,Universidad de Chile,0.0,1.0,complete,1710104400,J. Cabero,69.0,31.0,7.0,0.0,0.0,1.0,1.0,1.0,0,1.0,1.0
Nublense,Deportes Copiapo,1.0,0.0,complete,1710115200,H. Jona,47.0,53.0,2.0,2.0,4.0,6.0,1.0,1.0,0,1.0,1.0
U. Catolica,Everton de Vina,2.0,4.0,complete,1710194400,B. Saravia,60.0,40.0,4.0,5.0,2.0,2.0,1.0,1.0,0,1.0,1.0
Union La Calera,Cobreloa,0.0,2.0,complete,1710203400,N. Millas,55.0,45.0,6.0,3.0,3.0,4.0,1.24,1.49,0,1.0,1.0
Deportes Iquique,Cobresal,1.0,0.0,complete,1710545400,M. Assadi,51.0,49.0,3.0,4.0,2.0,2.0,3.0,1.6,0,1.0,1.0
Everton de Vina,Nublense,3.0,2.0,complete,1710601200,R. Alvarado,57.0,43.0,8.0,2.0,3.0,3.0,3.22,1.08,0,1.0,1.0
Universidad de Chile,O'Higgins,1.0,0.0,complete,1710622800,M. Riquelme,61.0,39.0,6.0,3.0,3.0,4.0,1.64,1.07,0,1.0,1.0
Cobreloa,Union Espanola,1.0,0.0,complete,1710631800,G. Philippe,43.0,57.0,2.0,8.0,2.0,4.0,1.57,0.96,0,1.0,1.0
Huachipato,Deportes Copiapo,2.0,1.0,complete,1710687600,N. Gamboa,58.0,42.0,6.0,2.0,4.0,1.0,1.0,1.0,0,1.0,1.0
