home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,status,timestamp,referee,home_team_possession,away_team_possession,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,away_team_yellow_cards,home_team_pre_match_xg,away_team_pre_match_xg,is_cup,home_team_lsi,away_team_lsi
Curico Unido,Union San Felipe,2.0,0.0,complete,1708734600,E. Domínguez,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Antofagasta,D. La Serena,0.0,1.0,complete,1708786800,M. Salvo,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Magallanes,Rangers de Talca,0.0,1.0,complete,1708808400,C. Díaz,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Santa Cruz,Barnechea,1.0,1.0,complete,1708817400,J. Oses,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Recoleta,Santiago Wanderers,3.0,1.0,complete,1708894800,M. Assadi,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Marcos de Arica,Deportes Temuco,0.0,1.0,complete,1708903800,F. Gilabert,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Morning,San Luis,4.0,0.0,complete,1709326800,D. Rissios,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
D. La Serena,Magallanes,1.0,0.0,complete,1709391600,C. Galaz,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Temuco,Deportes Limache,2.0,3.0,complete,1709413200,M. Assadi,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Universidad de Concepcion,San Marcos de Arica,1.0,3.0,complete,1709478000,M. Quila,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Rangers de Talca,Antofagasta,4.0,0.0,complete,1709499600,H. Jona,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Union San Felipe,Recoleta,0.0,1.0,complete,1709508600,F. Reyes,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Wanderers,Deportes Santa Cruz,1.0,2.0,complete,1709586000,F. Alveal,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Barnechea,Curico Unido,4.0,1.0,complete,1709595000,C. Díaz,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Recoleta,Barnechea,1.0,2.0,complete,1709931600,D. Rissios,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Limache,Rangers de Talca,0.0,1.0,complete,1709931600,E. Domínguez,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Curico Unido,Deportes Santa Cruz,1.0,2.0,complete,1709940600,F. Soriano,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Marcos de Arica,Santiago Morning,2.0,0.0,complete,1709940600,M. Salvo,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
D. La Serena,Santiago Wanderers,1.0,2.0,complete,1709996400,C. Droguett,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Magallanes,Deportes Temuco,3.0,1.0,complete,1710018000,R. Carvajal,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Antofagasta,Universidad de Concepcion,3.0,0.0,complete,1710082800,N. Pozo,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Luis,Union San Felipe,3.0,1.0,complete,1710115200,F. Vejar,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Morning,D. La Serena,2.0,4.0,complete,1710538200,C. Galaz,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Luis,Deportes Limache,0.0,5.0,complete,1710545400,M. Araos,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Temuco,Antofagasta,1.0,0.0,complete,1710622800,Q. Orlando,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Curico Unido,San Marcos de Arica,1.0,0.0,complete,1710631800,G. Ahumada,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Union San Felipe,Santiago Wanderers,1.0,2.0,complete,1710709200,D. Seguel,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Santa Cruz,Recoleta,1.0,2.0,complete,1710709200,C. Díaz,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Barnechea,Rangers de Talca,2.0,1.0,complete,1710795600,C. Droguett,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Universidad de Concepcion,Magallanes,2.0,1.0,complete,1710804600,F. Reyes,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
D. La Serena,Barnechea,0.0,0.0,complete,1711206000,N. Millas,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Santa Cruz,Union San Felipe,0.0,2.0,complete,1711227600,M. Salvo,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Recoleta,Curico Unido,2.0,1.0,complete,1711227600,N. Pozo,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Rangers de Talca,San Luis,2.0,4.0,complete,1711236600,P. Maza,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
