l_gf,l_gc,l_ppg,l_pos,l_xg,v_gf,v_gc,v_ppg,v_pos,v_xg,is_cup,home_team_lsi,away_team_lsi,target_1x2,home_team_goal_count,away_team_goal_count,home_team_corner_count,away_team_corner_count
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0,2.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,2,0.0,1.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,2,0.0,1.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1,1.0,1.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0,3.0,1.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,2,0.0,1.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0,4.0,0.0,0,0
1.0,0.0,3.0,50.0,1.0,0.0,1.0,0.0,50.0,1.0,0,1.0,1.0,0,1.0,0.0,0,0
1.0,0.0,3.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,2,2.0,3.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,1.0,0,1.0,1.0,2,1.0,3.0,0,0
1.0,0.0,3.0,50.0,1.0,0.0,1.0,0.0,50.0,1.0,0,1.0,1.0,0,4.0,0.0,0,0
0.0,2.0,0.0,50.0,1.0,3.0,1.0,3.0,50.0,1.0,0,1.0,1.0,2,0.0,1.0,0,0
1.0,3.0,0.0,50.0,1.0,1.0,1.0,1.0,50.0,1.0,0,1.0,1.0,2,1.0,2.0,0,0
1.0,1.0,1.0,50.0,1.0,2.0,0.0,3.0,50.0,1.0,0,1.0,1.0,0,4.0,1.0,0,0
2.0,0.5,3.0,50.0,1.0,2.5,1.0,2.0,50.0,1.0,0,1.0,1.0,2,1.0,2.0,0,0
3.0,2.0,3.0,50.0,1.0,2.5,0.0,3.0,50.0,1.0,0,1.0,1.0,2,0.0,1.0,0,0
1.5,2.0,1.5,50.0,1.0,1.5,1.0,2.0,50.0,1.0,0,1.0,1.0,2,1.0,2.0,0,0
