l_gf,l_gc,l_ppg,l_pos,l_xg,v_gf,v_gc,v_ppg,v_pos,v_xg,is_cup,home_team_lsi,away_team_lsi,target_1x2,home_team_goal_count,away_team_goal_count,home_team_corner_count,away_team_corner_count
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1,0.0,0.0,8.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,2,0.0,3.0,4.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,2,1.0,3.0,8.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1,1.0,1.0,3.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,2,2.0,3.0,4.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,1.0,0,1.0,1.0,2,0.0,1.0,3.0,7.0
0.0,0.0,1.0,49.0,1.0,1.0,3.0,0.0,60.0,1.0,0,1.0,1.0,0,3.0,1.0,10.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,45.0,1.4,0,1.0,1.0,0,5.0,0.0,1.0,5.0
0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,41.0,1.0,0,1.0,1.0,0,1.0,0.0,4.0,3.0
3.0,2.0,3.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1,1.0,1.0,7.0,3.0
1.0,1.0,1.0,55.0,0.86,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,2,0.0,1.0,7.0,2.0
3.0,1.0,3.0,40.0,1.0,3.0,0.0,3.0,67.0,1.0,0,1.0,1.0,0,1.0,0.0,11.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,33.0,1.0,0,1.0,1.0,1,2.0,2.0,7.0,4.0
0.5,3.0,0.5,49.5,1.2,2.0,2.0,1.0,51.0,1.0,0,1.0,1.0,0,2.0,1.0,4.0,3.0
5.0,0.0,3.0,46.0,1.0,0.0,1.0,0.0,59.0,1.0,0,1.0,1.0,2,0.0,2.0,6.0,5.0
