l_gf,l_gc,l_ppg,l_pos,l_xg,v_gf,v_gc,v_ppg,v_pos,v_xg,target_1x2,home_team_goal_count,away_team_goal_count
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0
0.0,0.0,1.0,61.0,1.0,1.0,0.0,3.0,51.0,1.0,0,3.0,0.0
0.0,1.0,0.0,49.0,0.72,1.0,1.0,1.0,57.0,1.0,0,3.0,1.0
2.0,1.0,3.0,48.0,1.0,2.0,2.0,1.0,42.0,1.0,0,1.0,0.0
1.0,3.0,0.0,73.0,2.13,0.0,1.0,0.0,51.0,1.0,0,2.0,0.0
0.0,1.0,0.0,48.0,0.4,0.0,0.0,1.0,39.0,1.0,0,2.0,1.0
1.0,1.0,1.0,43.0,1.0,3.0,1.0,3.0,27.0,1.51,1,1.0,1.0
2.0,2.0,1.0,58.0,1.0,1.0,2.0,0.0,52.0,1.0,0,2.0,0.0
1.0,0.0,3.0,49.0,1.0,1.0,0.0,3.0,52.0,1.31,0,3.0,1.0
0.0,1.5,0.0,49.0,1.0,1.0,1.0,1.5,43.5,0.7,2,0.0,3.0
1.0,2.0,0.5,61.5,1.0,0.5,1.0,0.5,50.0,1.0,1,0.0,0.0
1.0,1.5,0.5,47.0,1.0,1.5,1.0,1.5,41.5,0.86,2,0.0,1.0
2.0,1.0,2.0,32.0,1.255,1.5,0.5,3.0,48.0,1.0,0,2.0,1.0
1.0,1.5,1.5,51.5,1.155,2.0,1.0,2.0,52.5,1.0,0,3.0,2.0
0.5,1.5,1.5,52.0,1.0,0.5,2.0,0.0,52.5,1.0,0,2.0,1.0
1.0,1.0,1.0,53.0,1.0,1.5,0.0,2.0,54.0,1.0,0,1.0,0.0
1.5,1.5,1.5,63.0,1.565,2.0,0.5,3.0,49.0,1.0,0,1.0,0.0
1.3333333333333333,0.6666666666666666,2.0,45.333333333333336,0.7133333333333334,1.0,0.6666666666666666,1.6666666666666667,49.0,0.9266666666666667,2,0.0,1.0
0.6666666666666666,2.0,0.0,52.0,1.1566666666666665,1.6666666666666667,1.6666666666666667,2.0,46.333333333333336,1.1033333333333333,1,1.0,1.0
1.6666666666666667,0.6666666666666666,2.0,44.333333333333336,0.7999999999999999,0.6666666666666666,1.3333333333333333,0.6666666666666666,54.666666666666664,1.0,0,2.0,1.0
1.3333333333333333,1.0,2.0,53.333333333333336,1.0,1.3333333333333333,1.0,2.0,62.666666666666664,1.7533333333333332,2,0.0,1.0
2.0,1.6666666666666667,1.3333333333333333,56.333333333333336,1.0,1.3333333333333333,0.6666666666666666,2.0,44.333333333333336,0.9066666666666666,0,3.0,1.0
0.6666666666666666,1.3333333333333333,0.3333333333333333,48.0,1.0,1.0,1.3333333333333333,2.0,51.0,1.2366666666666666,1,1.0,1.0
1.0,0.3333333333333333,1.3333333333333333,55.666666666666664,0.8300000000000001,0.0,2.0,0.0,50.666666666666664,1.0,0,1.0,0.0
0.3333333333333333,0.6666666666666666,0.6666666666666666,53.0,1.0,2.0,1.0,2.3333333333333335,33.333333333333336,1.17,1,2.0,2.0
1.5,1.5,1.75,43.25,1.0775000000000001,0.75,1.25,0.5,51.0,1.0,2,0.0,1.0
1.0,0.75,1.5,49.5,0.785,1.0,0.25,1.75,55.0,0.8725,0,3.0,0.0
1.25,1.25,1.5,43.5,0.9299999999999999,0.75,1.75,0.25,55.5,1.1175,2,0.0,1.0
2.0,1.25,2.0,33.75,1.1275,1.75,0.75,2.25,47.25,0.85,0,3.0,0.0
