date,home_team,away_team,home_team_goal_count,away_team_goal_count
"Apr 17, 2026","Deportes Limache","Univ. Concepción",3,0
"Apr 13, 2026","Unión La Calera","Concepción",1,0
"Apr 12, 2026","Univ. Concepción","Cobresal",1,0
"Apr 12, 2026","Ñublense","Universidad Chile",1,0
"Apr 11, 2026","Palestino","Deportes Limache",1,0
"Apr 11, 2026","Audax Italiano","Universidad Católica",3,4
"Apr 11, 2026","La Serena","Everton",1,0
"Apr 10, 2026","O'Higgins","Huachipato",0,2
"Apr 6, 2026","Huachipato","Univ. Concepción",5,1
"Apr 6, 2026","Unión Española","Universidad Chile",0,1
"Dec 7, 2025","Coquimbo Unido","Ñublense",2,1
"Dec 7, 2025","Everton","Unión Española",1,1
"Dec 7, 2025","Universidad Católica","Palestino",2,0
"Dec 7, 2025","Universidad Chile","Audax Italiano",3,1
"Dec 7, 2025","Deportes Limache","Colo-Colo",2,3
"Dec 7, 2025","Cobresal","O'Higgins",1,0
"Dec 7, 2025","Huachipato","Deportes Iquique",2,2
"Dec 7, 2025","La Serena","Unión La Calera",1,1
"Dec 6, 2025","O'Higgins","La Serena",0,1
"Dec 5, 2025","Colo-Colo","Everton",2,1
"Dec 2, 2025","Deportes Iquique","Palestino",1,1
"Dec 1, 2025","Unión La Calera","Huachipato",1,0
"Nov 30, 2025","Unión Española","Universidad Chile",2,2
"Nov 29, 2025","Audax Italiano","Deportes Limache",1,1
"Nov 28, 2025","Coquimbo Unido","Cobresal",2,0
"Nov 24, 2025","Ñublense","Everton",1,0
"Nov 23, 2025","Universidad Católica","Colo-Colo",1,1
"Oct 31, 2025","Universidad Chile","Everton",2,2
"Oct 31, 2025","Deportes Iquique","Ñublense",1,1
"Oct 26, 2025","Huachipato","Colo-Colo",1,3
"Oct 26, 2025","La Serena","Cobresal",2,2
"Oct 19, 2025","O'Higgins","Universidad Católica",0,2
"Oct 31, 2025","Unión La Calera","Unión Española",1,1
"Oct 19, 2025","Palestino","Audax Italiano",1,1
"Oct 26, 2025","Coquimbo Unido","Deportes Limache",2,1
"Sep 28, 2025","Colo-Colo","Universidad Chile",1,0
"Sep 27, 2025","Everton","Universidad Católica",1,2
"Sep 26, 2025","Audax Italiano","La Serena",1,0
"Sep 26, 2025","Ñublense","Unión Española",1,1
"Aug 31, 2025","Huachipato","Cobresal",1,1
"Aug 31, 2025","O'Higgins","Unión La Calera",2,1
"Aug 30, 2025","Universidad Católica","Deportes Limache",3,0
"Aug 30, 2025","Deportes Iquique","Coquimbo Unido",1,2
"Aug 30, 2025","Palestino","La Serena",2,1
"Aug 28, 2025","Everton","La Serena",3,1
"Aug 24, 2025","Deportes Iquique","Ñublense",0,2
"Aug 24, 2025","La Serena","Huachipato",0,2
"Aug 23, 2025","Universidad Católica","Unión Española",2,0
"Aug 23, 2025","Audax Italiano","Coquimbo Unido",0,1
"Aug 23, 2025","Cobresal","Unión La Calera",1,0
"Aug 22, 2025","Deportes Limache","O'Higgins",2,2
"Aug 22, 2025","Palestino","Colo-Colo",0,0
"Aug 17, 2025","Coquimbo Unido","Everton",2,1
"Aug 17, 2025","Huachipato","Deportes Limache",4,0
"Aug 17, 2025","Universidad Chile","Audax Italiano",1,3
"Aug 16, 2025","O'Higgins","Cobresal",1,0
"Aug 16, 2025","Colo-Colo","Universidad Católica",1,4
"Aug 16, 2025","Ñublense","Palestino",1,0
"Aug 15, 2025","Unión La Calera","La Serena",1,1
"Aug 15, 2025","Unión Española","Deportes Iquique",2,2
"Aug 11, 2025","Deportes Limache","Audax Italiano",4,0
"Aug 10, 2025","Cobresal","Coquimbo Unido",1,2
"Aug 10, 2025","Everton","Colo-Colo",1,1
"Aug 9, 2025","La Serena","O'Higgins",3,3
"Aug 9, 2025","Universidad Chile","Unión Española",4,1
"Aug 9, 2025","Huachipato","Unión La Calera",1,0
"Aug 8, 2025","Palestino","Deportes Iquique",2,0
"Aug 4, 2025","Universidad Chile","Cobresal",0,1
"Aug 3, 2025","Ñublense","Everton",1,0
"Aug 3, 2025","Colo-Colo","Huachipato",2,2
"Jul 28, 2025","O'Higgins","Palestino",1,1
"Jul 27, 2025","Deportes Limache","Unión La Calera",1,0
"Jul 27, 2025","Unión Española","Audax Italiano",2,1
"Jul 27, 2025","Universidad Católica","Coquimbo Unido",2,0
"Jul 26, 2025","Deportes Iquique","La Serena",1,1
"Jul 20, 2025","Colo-Colo","Ñublense",3,0
"Jul 20, 2025","Everton","Universidad Chile",1,2
"Jul 19, 2025","La Serena","Deportes Limache",0,1
"Jul 19, 2025","Cobresal","Universidad Católica",1,2
"Jul 19, 2025","Huachipato","Unión Española",2,2
"Jul 18, 2025","Audax Italiano","O'Higgins",1,2
"Jul 18, 2025","Coquimbo Unido","Palestino",2,1
"Jul 18, 2025","Unión La Calera","Deportes Iquique",3,1
"Jun 21, 2025","Unión Española","Colo-Colo",1,2
"Jun 21, 2025","Ñublense","Cobresal",2,0
"Jun 21, 2025","Palestino","Everton",1,1
"Jun 20, 2025","Unión La Calera","Universidad Católica",1,1
"Jun 20, 2025","Deportes Iquique","Audax Italiano",2,2
"Jun 20, 2025","Deportes Limache","Huachipato",1,0
"Jun 19, 2025","O'Higgins","Coquimbo Unido",1,3
"Jun 19, 2025","La Serena","Universidad Chile",1,0
"Jun 16, 2025","Deportes Iquique","Everton",1,2
"Jun 15, 2025","Colo-Colo","Unión La Calera",2,1
"Jun 15, 2025","Huachipato","La Serena",1,1
"Jun 15, 2025","Palestino","Universidad Chile",1,2
"Jun 14, 2025","Deportes Limache","Ñublense",1,0
"Jun 14, 2025","Audax Italiano","Cobresal",2,2
"Jun 14, 2025","Universidad Católica","O'Higgins",3,1
"Jun 13, 2025","Coquimbo Unido","Unión Española",2,0
"Jun 12, 2025","Deportes Iquique","Universidad Católica",1,0
"Jun 12, 2025","Everton","Huachipato",0,2
"Jun 12, 2025","Unión La Calera","Audax Italiano",1,1
"Jun 11, 2025","Universidad Chile","Coquimbo Unido",3,1
"Jun 11, 2025","Union Espanola","O'Higgins",1,2
"Jun 11, 2025","Colo-Colo","Palestino",2,0
"Jun 10, 2025","Cobresal","Deportes Limache",1,0
"Jun 10, 2025","La Serena","Ñublense",1,1
"May 25, 2025","Ñublense","Huachipato",0,1
"May 25, 2025","Universidad Católica","La Serena",2,0
"May 25, 2025","Deportes Limache","Unión Española",1,2
"May 24, 2025","Audax Italiano","Colo-Colo",1,3
"May 24, 2025","Coquimbo Unido","Unión La Calera",2,1
"May 24, 2025","O'Higgins","Universidad Chile",0,2
"May 23, 2025","Palestino","Cobresal",2,0
"May 23, 2025","Everton","Deportes Iquique",1,1
"May 18, 2025","Colo-Colo","Cobresal",1,1
"May 18, 2025","Huachipato","Coquimbo Unido",0,1
"May 18, 2025","Unión La Calera","Everton",1,0
"May 17, 2025","Universidad Católica","Universidad Chile",2,2
"May 17, 2025","Deportes Iquique","Deportes Limache",2,2
"May 17, 2025","Unión Española","La Serena",3,1
"May 16, 2025","Audax Italiano","Palestino",1,1
"May 16, 2025","Ñublense","O'Higgins",1,1
"May 4, 2025","Colo-Colo","La Serena",3,0
"May 4, 2025","Universidad Chile","Deportes Iquique",1,1
"May 4, 2025","Everton","O'Higgins",1,2
"May 3, 2025","Palestino","Unión La Calera",1,1
"May 3, 2025","Universidad Católica","Huachipato",1,0
"May 3, 2025","Deportes Limache","Unión Española",0,2
"May 2, 2025","Cobresal","Audax Italiano",1,1
"May 2, 2025","Coquimbo Unido","Ñublense",2,1
"Apr 27, 2025","Ñublense","Universidad Católica",1,2
"Apr 27, 2025","Deportes Iquique","Colo-Colo",0,0
"Apr 27, 2025","Unión La Calera","Universidad Chile",0,3
"Apr 26, 2025","O'Higgins","Deportes Limache",1,1
"Apr 26, 2025","Huachipato","Palestino",1,1
"Apr 26, 2025","La Serena","Coquimbo Unido",0,1
"Apr 25, 2025","Audax Italiano","Everton",1,0
"Apr 25, 2025","Unión Española","Cobresal",2,0
"Apr 14, 2025","Universidad Chile","Unión Española",2,1
"Apr 13, 2025","Colo-Colo","O'Higgins",1,0
"Apr 13, 2025","Everton","Unión La Calera",2,2
"Apr 13, 2025","Universidad Católica","Audax Italiano",2,1
"Apr 12, 2025","Coquimbo Unido","Huachipato",2,0
"Apr 12, 2025","Cobresal","Deportes Iquique",1,1
"Apr 12, 2025","Deportes Limache","Palestino",0,1
"Apr 11, 2025","La Serena","Ñublense",1,0
"Mar 29, 2025","Palestino","Unión Española",1,2
"Mar 28, 2025","Unión La Calera","Colo-Colo",1,2
"Mar 28, 2025","Audax Italiano","Universidad Chile",1,3
"Mar 28, 2025","Ñublense","Cobresal",2,1
"Mar 27, 2025","O'Higgins","Universidad Católica",1,2
"Mar 27, 2025","Deportes Iquique","Everton",1,1
"Mar 27, 2025","Huachipato","La Serena",1,0
"Mar 26, 2025","Coquimbo Unido","Deportes Limache",2,1
"Mar 9, 2025","Universidad Chile","Colo-Colo",3,1
"Mar 9, 2025","Universidad Católica","Everton",1,0
"Mar 9, 2025","Coquimbo Unido","Audax Italiano",2,1
"Mar 8, 2025","Unión Española","Ñublense",1,1
"Mar 8, 2025","O'Higgins","Deportes Limache",3,1
"Mar 8, 2025","Huachipato","La Serena",3,1
"Mar 8, 2025","Deportes Iquique","Palestino",1,3
"Mar 7, 2025","Unión La Calera","Huachipato",1,0
"Mar 2, 2025","Unión La Calera","O'Higgins",2,2
"Mar 2, 2025","Cobresal","Universidad Chile",2,1
"Mar 2, 2025","Huachipato","Colo-Colo",2,1
"Mar 1, 2025","Everton","Ñublense",1,2
"Mar 1, 2025","Universidad Católica","Deportes Iquique",1,0
"Mar 1, 2025","Palestino","Audax Italiano",0,2
"Mar 1, 2025","La Serena","Unión Española",1,0
"Feb 28, 2025","Deportes Limache","Coquimbo Unido",1,2
"Feb 24, 2025","Colo-Colo","O'Higgins",0,1
"Feb 23, 2025","Universidad Chile","Unión La Calera",1,0
"Feb 23, 2025","Cobresal","La Serena",3,1
"Feb 23, 2025","Huachipato","Everton",4,0
"Feb 22, 2025","Ñublense","Deportes Limache",1,1
"Feb 22, 2025","Coquimbo Unido","Universidad Católica",1,0
"Feb 21, 2025","Audax Italiano","Deportes Iquique",4,2
"Feb 21, 2025","Unión Española","Palestino",0,3
"Feb 17, 2025","Unión La Calera","Unión Española",4,0
"Feb 17, 2025","Universidad Católica","Audax Italiano",3,1
"Feb 16, 2025","Deportes Limache","Everton",1,1
"Feb 16, 2025","La Serena","Colo-Colo",1,3
"Feb 15, 2025","Universidad Chile","Ñublense",5,0
"Feb 15, 2025","Palestino","Cobresal",2,1
"Feb 15, 2025","O'Higgins","Huachipato",0,0
"Oct 4, 2025","Iquique","Cobreloa",4,1
"Oct 4, 2025","Copiapó","Everton",2,1
"Oct 2, 2025","U. de Chile","Hachipato",1,0
"Sep 29, 2025","Everton","Cobreloa",2,0
"Sep 28, 2025","Huachipato","Coquimbo",0,0
"Sep 28, 2025","Iquique","Copiapó",2,1
"Sep 28, 2025","U. Católica","U. Española",1,2
"Sep 27, 2025","La Calera","Palestino",0,1
"Sep 26, 2025","Cobresal","Audax Italiano",0,1
"Aug 31, 2025","Cobreloa","Coquimbo",1,0
"Aug 29, 2025","Copiapó","Union Calera",3,3
"Aug 27, 2025","U. Española","Palestino",2,3
"Aug 26, 2025","U. de Chile","Colo-Colo",1,0
"Aug 25, 2025","Everton","Hachipato",1,0
"Aug 25, 2025","Cobresal","Iquique",2,2
"Aug 24, 2025","Católica","La Calera",0,0
"Aug 24, 2025","Audax","O'Higgins",1,1
"Aug 18, 2025","Palestino","Huachipato",2,0
"Aug 18, 2025","O'Higgins","Católica",0,4
"Aug 17, 2025","Cobreloa","U. de Chile",0,4
"Aug 17, 2025","Coquimbo","Colo-Colo",0,0
"Aug 17, 2025","La Calera","Iquique",1,1
"Aug 17, 2025","Cobresal","Everton",2,3
"Aug 16, 2025","Ñublense","Copiapó",0,0
"Aug 11, 2025","O'Higgins","U. de Chile",0,4
