fixture_id,date,timestamp,referee,venue_city,home_team,home_id,away_team,away_id,home_goals,away_goals,league_id,season,home_yellow_cards,away_yellow_cards,home_xg,away_xg,home_corners,away_corners,home_fouls,away_fouls,has_real_stats,home_elo,away_elo,home_rest_days,away_rest_days,home_travel_km,away_travel_km,referee_avg_cards
984808,2023-01-03T00:00:00+00:00,1672704000,,Jemmal,Uganda,1519,Sudan,1510,2,2,10,2023,2.0,2.0,1.840998651832073,1.9434967210393428,0.0,0.0,0.0,0.0,0,1400.0,1400.0,7.0,7.0,0.0,0.0,4.5
984797,2023-01-08T17:00:00+00:00,1673197200,Miguel Nogueira,Albufeira,Iceland,18,Estonia,1101,1,1,10,2023,0.0,1.0,2.205790608462433,0.8885463755896461,0.0,0.0,0.0,0.0,0,1400.0,1400.0,7.0,7.0,0.0,0.0,4.5
984798,2023-01-09T18:45:00+00:00,1673289900,Vitor Ferreira,São João da Venda,Sweden,5,Finland,1099,2,0,10,2023,2.0,2.0,2.4928328689704804,1.658040718479898,0.0,0.0,0.0,0.0,0,1820.0,1400.0,7.0,7.0,0.0,0.0,4.5
984799,2023-01-12T16:00:00+00:00,1673539200,Gustavo Correia,Albufeira,Finland,1099,Estonia,1101,0,1,10,2023,4.0,1.0,0.6004148894537673,0.5773784791565026,0.0,0.0,0.0,0.0,0,1398.363363504897,1400.0,2.8854166666666665,3.9583333333333335,0.0,0.0,4.5
984800,2023-01-12T18:00:00+00:00,1673546400,Luis Godinho,São João da Venda,Sweden,5,Iceland,18,2,1,10,2023,1.0,2.0,2.058813656519547,2.06625299245735,0.0,0.0,0.0,0.0,0,1821.636636495103,1400.0,2.96875,4.041666666666667,0.0,0.0,4.5
984801,2023-01-26T03:00:00+00:00,1674702000,"Daneon Parchment, Jamaica","Los Angeles, California",USA,2384,Serbia,14,1,2,10,2023,1.0,1.0,0.653728669718177,1.7698842500815544,0.0,0.0,0.0,0.0,0,1950.0,1790.0,7.0,7.0,0.0,0.0,4.5
995739,2023-01-28T22:00:00+00:00,1674943200,K. Williams,Port of Spain,Trinidad and Tobago,5168,Saint Martin,10984,2,0,10,2023,3.0,1.0,2.128126497364624,1.9942135170699773,0.0,0.0,0.0,0.0,0,1400.0,1400.0,7.0,7.0,0.0,0.0,4.5
984803,2023-01-29T00:30:00+00:00,1674952200,"Said Martinez, Honduras","Carson, California",USA,2384,Colombia,8,0,0,10,2023,3.0,1.0,1.7551291996193576,0.584584837412305,0.0,0.0,0.0,0.0,0,1935.694944979016,1940.0,2.8958333333333335,7.0,0.0,0.0,3.4166666666666665
1012354,2023-02-22T23:00:00+00:00,1677106800,M. Gaymes,Sauteurs,Grenada,5533,Barbados,5527,1,1,10,2023,4.0,1.0,0.5640951060913117,0.7403713722245313,0.0,0.0,0.0,0.0,0,1400.0,1400.0,7.0,7.0,0.0,0.0,4.5
1012355,2023-02-24T23:00:00+00:00,1677279600,,St. George's,Grenada,5533,Barbados,5527,2,2,10,2023,0.0,6.0,0.8268028282101281,2.4783043501022,0.0,0.0,0.0,0.0,0,1400.0,1400.0,2.0,2.0,0.0,0.0,4.5
1012366,2023-02-25T13:00:00+00:00,1677330000,,Lilongwe,Malawi,1495,Lesotho,1518,1,1,10,2023,2.0,0.0,0.9634168140518652,0.7183423966038154,0.0,0.0,0.0,0.0,0,1400.0,1400.0,7.0,7.0,0.0,0.0,4.5
1012356,2023-02-26T23:00:00+00:00,1677452400,M. Gaymes,St. George's,Grenada,5533,Barbados,5527,2,2,10,2023,1.0,2.0,1.3392521002599416,1.7167857856073978,0.0,0.0,0.0,0.0,0,1400.0,1400.0,2.0,2.0,0.0,0.0,4.5
