l_gf,l_gc,l_ppg,l_pos,l_xg,v_gf,v_gc,v_ppg,v_pos,v_xg,target_1x2,home_team_goal_count,away_team_goal_count,home_team_corner_count,away_team_corner_count
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,7.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2,2.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,3.0,12.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,8.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,3,1.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,2.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,5.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,4.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2,4.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,2.0,13.0
3.0,0.0,3.0,62.0,1.43,1.0,0.0,3.0,55.0,2.43,0,2,1,4.0,4.0
0.0,1.0,0.0,45.0,0.44,1.0,1.0,1.0,30.0,1.05,0,2,1,7.0,5.0
0.0,1.0,0.0,78.0,1.77,1.0,1.0,1.0,53.0,1.3,2,0,1,4.0,10.0
1.0,1.0,1.0,70.0,1.18,0.0,3.0,0.0,38.0,0.45,0,4,0,12.0,5.0
2.0,0.0,3.0,52.0,0.77,0.0,2.0,0.0,38.0,0.45,0,4,1,10.0,1.0
1.0,2.0,0.0,54.0,1.17,1.0,2.0,0.0,52.0,2.46,2,0,2,3.0,3.0
2.0,1.0,3.0,48.0,2.03,2.0,0.0,3.0,53.0,1.24,2,0,2,4.0,1.0
1.0,1.0,1.0,47.0,1.22,1.0,0.0,3.0,22.0,0.25,1,1,1,8.0,9.0
0.0,2.0,0.0,47.0,0.47,0.0,2.0,0.0,48.0,1.01,2,2,6,5.0,5.0
2.0,0.0,3.0,62.0,2.65,2.0,1.0,3.0,46.0,1.59,0,2,0,9.0,4.0
2.0,0.0,3.0,57.0,1.055,2.5,0.5,3.0,55.0,1.7599999999999998,1,1,1,3.0,7.0
0.0,3.5,0.0,33.5,0.725,1.0,1.0,1.0,43.0,1.7399999999999998,2,2,3,8.0,4.0
